145|Boise City|ID|125738|145|POINT (-116.2261 43.606651)|
146|Tallahassee|FL|124773|146|POINT (-84.281399 30.457)|
147|Laredo|TX|122899|147|POINT (-99.486599 27.5343)|
148|Hollywood|FL|121697|148|POINT (-80.164762 26.029817)|
149|Topeka|KS|119883|149|POINT (-95.691999 39.0379)|
150|Pasadena|TX|119363|150|POINT (-95.152021 29.6606)|
151|Moreno Valley|CA|118779|151|POINT (-117.210311 33.92623)|
152|Sterling Heights|MI|117810|152|POINT (-83.030534 42.580035)|
153|Sunnyvale|CA|117229|153|POINT (-122.025531 37.38575)|
154|Gary|IN|116646|154|POINT (-87.344149 41.59575)|
155|Beaumont|TX|114323|155|POINT (-94.144463 30.087767)|
156|Fullerton|CA|114144|156|POINT (-117.928054 33.8848)|
157|Peoria|IL|113504|157|POINT (-89.609225 40.744964)|
158|Santa Rosa|CA|113313|158|POINT (-122.700799 38.4486)|
159|Eugene|OR|112669|159|POINT (-123.112172 44.053)|
160|Independence|MO|112301|160|POINT (-94.353413 39.089344)|
161|Overland Park|KS|111790|161|POINT (-94.684916 38.914592)|
162|Hayward|CA|111498|162|POINT (-122.104602 37.627667)|
163|Concord|CA|111348|163|POINT (-121.99987 37.97325)|
164|Alexandria|VA|111183|164|POINT (-77.086178 38.821)|
165|Orange|CA|110658|165|POINT (-117.823999 33.80525)|
166|Santa Clarita|CA|110642|166|POINT (-118.510175 34.413408)|
167|Irvine|CA|110330|167|POINT (-117.795807 33.662114)|
168|Elizabeth|NJ|110002|168|POINT (-74.194157 40.666367)|
169|Inglewood|CA|109602|169|POINT (-118.343649 33.95585)|
170|Ann Arbor|MI|109592|170|POINT (-83.730841 42.27535)|
171|Vallejo|CA|109199|171|POINT (-122.264186 38.107467)|
172|Waterbury|CT|108961|172|POINT (-73.037429 41.5584)|
173|Salinas|CA|108777|173|POINT (-121.635081 36.684833)|
174|Cedar Rapids|IA|108751|174|POINT (-91.669578 41.972967)|
175|Erie|PA|108718|175|POINT (-80.086596 42.12585)|
176|Escondido|CA|108635|176|POINT (-117.07127 33.136445)|
177|Stamford|CT|108056|177|POINT (-73.552688 41.096733)|
178|Salem|OR|107786|178|POINT (-123.022057 44.9245)|
179|Abilene|TX|106654|179|POINT (-99.738973 32.4545)|
180|Macon|GA|106612|180|POINT (-83.656839 32.83675)|
181|El Monte|CA|106209|181|POINT (-118.027797 34.0748)|
182|South Bend|IN|105511|182|POINT (-86.265699 41.6753)|
183|Springfield|IL|105227|183|POINT (-89.644654 39.781433)|
184|Allentown|PA|105090|184|POINT (-75.477665 40.596333)|
185|Thousand Oaks|CA|104352|185|POINT (-118.867557 34.1927)|
186|Portsmouth|VA|103907|186|POINT (-76.35641 36.855534)|
187|Waco|TX|103590|187|POINT (-97.183198 31.56895)|
188|Lowell|MA|103439|188|POINT (-71.322141 42.638711)|
189|Berkeley|CA|102724|189|POINT (-122.29729 37.86725)|
190|Mesquite|TX|101484|190|POINT (-96.5998 32.769001)|
191|Rancho Cucamonga|CA|101409|191|POINT (-117.570239 34.123831)|
192|Albany|NY|101082|192|POINT (-73.799017 42.66575)|
193|Livonia|MI|100850|193|POINT (-83.372524 42.39815)|
194|Sioux Falls|SD|100814|194|POINT (-96.7301 43.544201)|
195|Simi Valley|CA|100217|195|POINT (-118.751299 34.26305)|
